index,RESPONDENT,STIMULI,Anger Frames >= Threshold,	Sadness Frames >= Threshold,	Disgust Frames >= Threshold,Joy Frames >= Threshold,Surprise Frames >= Threshold,	Fear Frames >= Threshold,Contempt Frames >= Threshold,	Engagement Frames >= Threshold,	Attention Frames >= Threshold,gsr,et,experiment,label
5,P06,logo04_name-white,0,0,0,0,13,0,0,49,90,0,179.8824343750007,logo,specialized
5,P04,logo04_name-white,0,0,0,0,0,0,0,0,124,1,245.19175789473957,logo,specialized
