Study Name	Respondent Name	Gender	Age	Stimulus Name	Scene Name	Annotations	Onset Time	Peak Time	Offset Time	Amplitude	Bin	stimulusPeakSequenceNr	Peak Detection Name
Study-USJ-BU-001	P07	Female	13	video04 - Specialized			32623	33334	34006	0.0306	7	5	GSR Peaks (GSR)
Study-USJ-BU-001	P07	Female	13	video04 - Specialized			36678	37522	40123	0.4237	8	6	GSR Peaks (GSR)
Study-USJ-BU-001	P07	Female	13	video04 - Specialized			43756	44443	46693	0.2655	9	7	GSR Peaks (GSR)
Study-USJ-BU-001	P07	Female	13	video04 - Specialized			49779	50162	50772	0.0204	10|11	8	GSR Peaks (GSR)
Study-USJ-BU-001	P07	Female	13	video04 - Specialized			51943	52647	53608	0.1481	11	9	GSR Peaks (GSR)
Study-USJ-BU-001	P07	Female	13	video04 - Specialized			54600	55506	57061	0.3165	12	10	GSR Peaks (GSR)
Study-USJ-BU-001	P08	Female	46	video04 - Specialized			3082	3722	4379	0.0337	1	1	GSR Peaks (GSR)
Study-USJ-BU-001	P08	Female	46	video04 - Specialized			4566	5644	7433	0.2154	2	2	GSR Peaks (GSR)
Study-USJ-BU-001	P08	Female	46	video04 - Specialized			16511	17472	18840	0.0571	4	3	GSR Peaks (GSR)
Study-USJ-BU-001	P08	Female	46	video04 - Specialized			22269	22996	26105	0.2168	5	4	GSR Peaks (GSR)
Study-USJ-BU-001	P08	Female	46	video04 - Specialized			41777	42480	44261	0.0366	9	5	GSR Peaks (GSR)
Study-USJ-BU-001	P08	Female	46	video04 - Specialized			48496	50097	52504	0.2007	10|11	6	GSR Peaks (GSR)
Study-USJ-BU-001	P08	Female	46	video04 - Specialized			58269	59090	59496	0.0601	12	7	GSR Peaks (GSR)
