Anger Frames >= Threshold,0
Sadness Frames >= Threshold,0
Disgust Frames >= Threshold,101
Joy Frames >= Threshold,0
Surprise Frames >= Threshold,102
Fear Frames >= Threshold,63
Contempt Frames >= Threshold,0
Engagement Frames >= Threshold,339
Attention Frames >= Threshold,8784
