Stimulus Name,Respondent Name,Gender,Age,Group,Fixation Number(per AOI),Fixation Centroid X,Fixation Centroid Y,Fixation StartMs,Duration Ms,AOI Label,Fixation Sequence(Across AOIs)
Survey-Starting-Agreement,P00,Male,47,G1,50,419.785714285714,289.047619047619,11710.1567,349.749250000001,N/A,50
Survey-Starting-Agreement,P00,Male,47,G1,51,315.464285714286,297.571428571429,12093.2139,233.1656,N/A,51
Survey-Starting-Agreement,P00,Male,47,G1,52,423.071428571429,291.678571428571,12459.61745,233.165899999998,N/A,52
Survey-Starting-Agreement,P00,Male,47,G1,53,550.884615384615,294.769230769231,12742.7467,216.51275,N/A,53
Survey-Starting-Agreement,P00,Male,47,G1,54,663.777777777778,289.5,12992.5676,149.891750000001,N/A,54
Survey-Starting-Agreement,P00,Male,47,G1,55,829.5,280375,13192.4239,66.6178500000024,N/A,55
Survey-Starting-Agreement,P00,Male,47,G1,56,800.8,283.6,13292.3522,83.2739500000007,N/A,56
Survey-Starting-Agreement,P00,Male,47,G1,57,925.5,257.714285714286,13525.51735,116.583600000002,N/A,57
Survey-Starting-Agreement,P00,Male,47,G1,58,1083.72222222222,287,13708.71995,149.89255,N/A,58
Survey-Starting-Agreement,P00,Male,47,G1,59,1237.5,289.166666666667,13975.1962,99.9261000000006,N/A,59
Survey-Starting-Agreement,P00,Male,47,G1,60,1492,298375,14125.08605,66.6187500000015,N/A,60
Survey-Starting-Agreement,P00,Male,47,G1,61,1442.82142857143,309.892857142857,14225.0151,233.164699999999,N/A,61
Survey-Starting-Agreement,P00,Male,47,G1,62,1270,304.285714285714,14508.14575,116.5813,N/A,62
Survey-Starting-Agreement,P00,Male,47,G1,63,1452.45833333333,321.916666666667,14674.6925,199.855850000002,N/A,63
Survey-Starting-Agreement,P00,Male,47,G1,64,1592.5,324.3,14907.8563,83.2741500000011,N/A,64
Survey-Starting-Agreement,P00,Male,47,G1,65,1536.10714285714,325.928571428571,15024.4403,233.1649,N/A,65
Survey-Starting-Agreement,P00,Male,47,G1,66,445.25,380.8125,15374.1886,133.237599999999,N/A,66
Survey-Starting-Agreement,P00,Male,47,G1,67,219.9,397.6,15540.73535,249.8192,N/A,67
Survey-Starting-Agreement,P00,Male,47,G1,68,188.7,415.966666666667,16123.64895,249.821750000003,N/A,68
Survey-Starting-Agreement,P00,Male,47,G1,69,167.333333333333,410.305555555556,16390.12445,299.7834,N/A,69
Survey-Starting-Agreement,P00,Male,47,G1,70,276125,403.3125,16756.52705,133.2372,N/A,70
Survey-Starting-Agreement,P00,Male,47,G1,71,406.9,392.3,16956.3842,166.54565,N/A,71
Survey-Starting-Agreement,P00,Male,47,G1,72,583125,386.1,17256.16765,333.0933,N/A,72
Survey-Starting-Agreement,P00,Male,47,G1,73,700.071428571429,396.357142857143,17622.5703,116.582899999998,N/A,73
Survey-Starting-Agreement,P00,Male,47,G1,74,876,395,17789.11835,66.6182999999983,N/A,74
Survey-Starting-Agreement,P00,Male,47,G1,75,836.25,379.833333333333,17872.3909,99.928049999995,N/A,75
Survey-Starting-Agreement,P00,Male,47,G1,76,1000.79166666667,386875,18038.93785,199.856749999999,N/A,76
Survey-Starting-Agreement,P00,Male,47,G1,77,1138.10714285714,385.642857142857,18288.75895,233.165300000001,N/A,77
Survey-Starting-Agreement,P00,Male,47,G1,78,1290.44444444444,399.833333333333,18571.8879,149.891500000002,N/A,78
Survey-Starting-Agreement,P00,Male,47,G1,79,1410.75,407.607142857143,18838.36275,233.165400000005,N/A,79
Survey-Starting-Agreement,P00,Male,47,G1,80,1554.95,414.3,19121.49265,166.5465,N/A,80
Survey-Starting-Agreement,P00,Male,47,G1,81,429625,427.5,19387.96685,66.6190999999963,N/A,81
Survey-Starting-Agreement,P00,Male,47,G1,82,220.294117647059,444.323529411765,19504.5505,283.128849999997,N/A,82
Survey-Starting-Agreement,P00,Male,47,G1,83,354.611111111111,436.777777777778,19820.9895,149.8923,N/A,83
Survey-Starting-Agreement,P00,Male,47,G1,84,510.083333333333,448.333333333333,20020.8452,199.855949999997,N/A,84
Survey-Starting-Agreement,P00,Male,47,G1,85,748625,457.5,20254.0117,66.6179999999986,N/A,85
Survey-Starting-Agreement,P00,Male,47,G1,86,699875,454.8125,20353.93955,266.475299999998,N/A,86
Survey-Starting-Agreement,P00,Male,47,G1,87,653.333333333333,449.75,20653.7244,99.9275500000003,N/A,87
Survey-Starting-Agreement,P00,Male,47,G1,88,840.0625,448125,20820.2707,133.237200000003,N/A,88
Survey-Starting-Agreement,P00,Male,47,G1,89,988.038461538462,454.807692307692,21003.47235,216.510999999999,N/A,89
Survey-Starting-Agreement,P00,Male,47,G1,90,1158.63333333333,448.433333333333,21269.94705,249.821499999998,N/A,90
Survey-Starting-Agreement,P00,Male,47,G1,91,1249.78571428571,452.214285714286,21569.73125,116.583149999999,N/A,91
Survey-Starting-Agreement,P00,Male,47,G1,92,1515.3,450.4,21769.58835,249.820049999995,N/A,92
Survey-Starting-Agreement,P00,Male,47,G1,93,1603.66666666667,491.404761904762,22052718,349.748200000002,N/A,93
Survey-Starting-Agreement,P00,Male,47,G1,94,1559.83333333333,466375,22419.1206,199.855450000003,N/A,94
Survey-Starting-Agreement,P00,Male,47,G1,95,1364.13043478261,468.326086956522,22668.9407,383.057850000001,N/A,95
Survey-Starting-Agreement,P00,Male,47,G1,96,1225.5,453375,23101964,333.092249999998,N/A,96
Survey-Starting-Agreement,P00,Male,47,G1,97,1605,465.5,23501.67575,83.273500000003,N/A,97
Survey-Starting-Agreement,P00,Male,47,G1,98,1571.66666666667,446.166666666667,23668.22225,99.9277499999953,N/A,98
Survey-Starting-Agreement,P00,Male,47,G1,99,1552125,454875,23818.11425,66.6189999999988,N/A,99
Survey-Starting-Agreement,P00,Male,47,G1,100,1529.32142857143,482.321428571429,24417.68345,233.165249999998,N/A,100
Survey-Starting-Agreement,P00,Male,47,G1,101,1658,476.2,24684.15815,83.2741499999975,N/A,101
Survey-Starting-Agreement,P00,Male,47,G1,102,1637.27272727273,473.045454545455,24784086,366.40425,N/A,102
Survey-Starting-Agreement,P00,Male,47,G1,103,500.583333333333,494.666666666667,25267.07265,99.9284000000007,N/A,103
Survey-Starting-Agreement,P00,Male,47,G1,104,209.857142857143,509.392857142857,25416.96505,233.166599999997,N/A,104
Survey-Starting-Agreement,P00,Male,47,G1,105,1011.35715187792,467.119041752919,25716.74845,366.403200000001,N/A,105
Survey-Starting-Agreement,P00,Male,47,G1,106,720.5,445.653846153846,26133.1161,216.511849999999,N/A,106
Survey-Starting-Agreement,P00,Male,47,G1,107,607.363636363636,446.181818181818,26399.59085,183.201250000002,N/A,107
Survey-Starting-Agreement,P00,Male,47,G1,108,785.85,450.35,26616.10165,166.547149999999,N/A,108
Survey-Starting-Agreement,P00,Male,47,G1,109,480.588235294118,449.970588235294,26815.95885,283.129099999998,N/A,109
Survey-Starting-Agreement,P00,Male,47,G1,110,314.409090909091,510.318181818182,27182.3615,183.200849999994,N/A,110
Survey-Starting-Agreement,P00,Male,47,G1,111,423625,505125,27415.5269,199.857149999996,N/A,111
Survey-Starting-Agreement,P00,Male,47,G1,112,525.928571428571,510.785714285714,27648.69255,233.165349999999,N/A,112
Survey-Starting-Agreement,P00,Male,47,G1,113,635875,508375,27915.1672,133.2382,N/A,113
Survey-Starting-Agreement,P00,Male,47,G1,114,793.3125,520.75,28464.7719,133.237250000002,N/A,114
Survey-Starting-Agreement,P00,Male,47,G1,115,1006,506,28714.59265,133.237399999998,N/A,115
Survey-Starting-Agreement,P00,Male,47,G1,116,1153.25,509.5,28914.44905,99.927499999998,N/A,116
Survey-Starting-Agreement,P00,Male,47,G1,117,1333,513.5,29080.99525,66.619450000002,N/A,117
Survey-Starting-Agreement,P00,Male,47,G1,118,1306.5,509.166666666667,29164.27025,149.890800000001,N/A,118
Survey-Starting-Agreement,P00,Male,47,G1,119,1487.35,506.95,29380.77935,166.54765,N/A,119
Survey-Starting-Agreement,P00,Male,47,G1,120,1639.66666666667,518.5,29597.29095,149.893250000001,N/A,120
Survey-Starting-Agreement,P00,Male,47,G1,121,545375,548.75,29830.4561,66.6190500000012,N/A,121
Survey-Starting-Agreement,P00,Male,47,G1,122,255.555555555556,557,29963.6947,149.892400000001,N/A,122
Survey-Starting-Agreement,P00,Male,47,G1,123,201.071428571429,565.571428571429,30146896,116.581750000001,N/A,123
Survey-Starting-Agreement,P00,Male,47,G1,124,452.25,563.6875,30330.0972,133.237499999999,N/A,124
Survey-Starting-Agreement,P00,Male,47,G1,125,837.272727272727,560.409090909091,30746.4643,183.201799999999,N/A,125
Survey-Starting-Agreement,P00,Male,47,G1,126,996.3,573.7,30979.6311,83.272399999998,N/A,126
Survey-Starting-Agreement,P00,Male,47,G1,127,446.642857142857,656.428571428572,31146.1767,116.582849999999,N/A,127
Survey-Starting-Agreement,P00,Male,47,G1,128,266875,662625,31312.72445,199.855750000002,N/A,128
Survey-Starting-Agreement,P00,Male,47,G1,129,600,672.8,31928.94765,83.2738500000014,N/A,129
Survey-Starting-Agreement,P00,Male,47,G1,130,566.277777777778,671,32028.87745,149.889950000001,N/A,130
Survey-Starting-Agreement,P00,Male,47,G1,131,528.7,650.3,32328.65905,83.2736999999979,N/A,131
Survey-Starting-Agreement,P00,Male,47,G1,132,233.269230769231,656,32478.55285,216.510049999997,N/A,132
Survey-Starting-Agreement,P00,Male,47,G1,133,444.4,652,32745.0269,83.2731500000045,N/A,133
Survey-Starting-Agreement,P00,Male,47,G1,134,630.2,646.1,32944.88425,83.2717499999999,N/A,134
